class,average_loudness,spectral_spread_var,ZCR_mean,Dissonance_mean,spectral_flux_mean,spectral_centroid_mean,energyband_middle_high_mean,energyband_middle_low_mean
classical,0.33231633900000002,1431562878980.0,0.060432311099999997,0.47138029339999998,0.066606603599999994,1589.9107666,0.011017347699999999,0.0040089553000000003
electronic,0.97865051030000005,3084540706820.0,0.083582036200000001,0.47137659790000003,0.10286148639999999,2065.8696289099998,0.0055792029,0.0068118144000000004
hiphop,0.88192820549999995,1277480271870.0,0.2373035252,0.47369647030000001,0.10718009620000001,1482.328125,0.0042077755000000001,0.0074952841000000001
rnb,0.93785834310000005,385284702208.0,0.074222639199999996,0.46761885289999999,0.115799956,1106.68457031,0.013059604000000001,0.0093956552000000002
jazz,0.48546287420000001,10516608057300.0,0.044515311699999997,0.44159755109999999,0.0405295715,1068.7458496100001,0.0038539872000000002,0.0060317026999999997
folk,0.74682772159999999,6366006083580.0,0.088000647700000004,0.45685482030000002,0.059487435999999998,1760.1801757799999,0.0075128251000000004,0.0071977815000000001
classical,0.64633238319999997,70109183868900.0,0.30754667520000001,0.42663803700000003,0.051663972400000001,857.886230469,0.00032070180000000001,0.015928527299999998
electronic,0.91050678490000003,14629975621600.0,0.040274497100000001,0.39796498419999998,0.078589864100000004,869.06390380899995,0.0032416908,0.019940562500000002
hiphop,0.95290142300000003,903966818304.0,0.099892035099999998,0.47280442709999998,0.1004200801,1338.42419434,0.0039255842999999999,0.0097062969999999991
rnb,0.6478275657,9915069366270.0,0.046571407500000002,0.4600439966,0.079050675000000001,1207.25097656,0.0037774943999999999,0.0107628554
jazz,0.00022560230000000001,4051598049280.0,0.029964148999999999,0.38830119369999999,0.0357307345,580.95874023399995,0.0013271372,0.0108832913
folk,0.77710181469999995,4822066003970.0,0.042670883200000002,0.4175592065,0.045398220400000001,886.20642089800003,0.0066275094000000003,0.011536400800000001
classical,0.020216295499999998,12368427876400.0,0.036805506799999999,0.24722418190000001,0.011844794299999999,624.37902831999997,0.00034068640000000001,0.0117426552
electronic,0.9614261985,2939711913980.0,0.067810654600000006,0.4826396704,0.084910213900000003,1778.3046875,0.0048401789000000004,0.0068152509999999996
hiphop,0.81288349630000001,9828400365570.0,0.059324909000000002,0.42897337679999997,0.087170138999999994,971.15808105500003,0.0040917122,0.0097003672000000006
rnb,0.73704791069999998,9016646303740.0,0.079149335599999995,0.47527649999999999,0.080702699700000005,1870.7797851600001,0.0087222363999999997,0.0032632187999999999
jazz,0.58481693270000001,1296085286910.0,0.034165255700000001,0.424615413,0.059741176700000002,888.13513183600003,0.0031976779000000002,0.0115108257
folk,0.82571315769999998,20963651485700.0,0.054832789999999999,0.40872442720000002,0.062314540100000003,991.07330322300004,0.0070268031999999999,0.012424767
classical,0.0025764759999999999,2423403315200.0,0.0257769898,0.33488124609999997,0.039676137299999997,598.76129150400004,0.0022353318,0.0088261720000000002
electronic,0.84065294270000002,21599054987300.0,0.039172302899999997,0.43211808800000001,0.074302516900000004,913.49389648399995,0.0031221728000000002,0.0176643506
hiphop,0.41618770360000001,2673704173570.0,0.071626938900000006,0.47701066730000002,0.083476729700000002,1820.63378906,0.0043627010000000001,0.0061088688999999998
rnb,0.47480818629999999,13783665737700.0,0.066406220200000005,0.42925983670000001,0.063783675400000003,1031.8712158200001,0.0028055191999999999,0.0136897042
jazz,0.8671110272,1522972098560.0,0.038013827100000001,0.43518400190000001,0.053412698199999997,870.02923583999996,0.0055249616999999999,0.01423347
folk,0.65683883430000001,15849016524800.0,0.28313544390000001,0.4353274405,0.094773001999999995,551.547363281,0.0012094199000000001,0.013062783499999999
classical,0.71108847860000002,1063293026300.0,0.48383641240000003,0.47688186170000002,0.1765821129,1289.4694824200001,0.0079025122999999992,0.0112749003
electronic,0.90912890430000004,5104852795390.0,0.061648026100000003,0.47224354740000002,0.1157453582,1322.0926513700001,0.0026582058000000001,0.0082875863000000001
hiphop,0.92677527670000004,30095618080800.0,0.079208523000000003,0.4747476578,0.099496304999999993,1931.4174804700001,0.0044535957000000001,0.010552139
rnb,0.18152396379999999,2051099459580.0,0.041857395300000003,0.42573398350000002,0.054418861899999997,928.24285888700001,0.0062161745000000003,0.0081420139999999995
jazz,0.87281459569999997,31994742308900.0,0.037397418199999997,0.40692791340000001,0.0622053854,805.88323974599996,0.0034526887,0.017487715899999999
folk,0.084854192999999994,7598364950530.0,0.0279907621,0.36293777820000001,0.037321221100000003,488.54241943400001,0.0045589669999999997,0.0095398155999999994
classical,0.074480317500000004,25621459632100.0,0.033054433799999998,0.37038975950000003,0.029546169600000002,646.544921875,0.0013824753999999999,0.011509004
electronic,0.94745695590000001,5444848320510.0,0.070477180200000003,0.47081288700000001,0.094074524899999998,1621.4659423799999,0.0050868535999999999,0.0091431914000000003
hiphop,0.93309956790000004,78848091750400.0,0.060811813899999997,0.46316555139999999,0.074420340400000007,1753.1522216799999,0.0026089423,0.0073422720000000004
rnb,0.85080939529999999,22342449233900.0,0.041621074100000002,0.40262794489999998,0.061189360900000003,967.48529052699996,0.0012189944000000001,0.0215503033
jazz,0.81602466110000005,2334322589700.0,0.035873144900000001,0.42909529810000002,0.060993492599999997,923.34942626999998,0.0039391345000000001,0.0081353177999999998
folk,0.92433398960000002,4199499694080.0,0.13966204230000001,0.42532983419999998,0.1194286942,518.84991455099998,0.0017327022999999999,0.0243154168
classical,0.044756185300000001,2837355692030.0,0.035446397999999997,0.4353972673,0.038015950499999999,779.39141845699999,0.0028215331999999998,0.0109046744
electronic,0.95253944400000001,8391860682750.0,0.082596510600000006,0.49247416849999998,0.089256502700000004,2487.4521484400002,0.0033884852000000002,0.0019195835000000001
hiphop,0.58982121939999999,742792757248.0,0.07421498,0.46016246080000001,0.067001581199999993,982.17950439499998,0.0026546917000000001,0.0108917411
rnb,0.75810325150000002,22421618819100.0,0.061473004499999997,0.459857285,0.078113511199999999,1481.0833740200001,0.0042403796999999997,0.0069606188000000003
jazz,0.90574592350000005,4411494498300.0,0.046837866300000003,0.44398242240000002,0.057453386500000002,965.19506835899995,0.0039421450000000002,0.014193044
folk,0.46839600799999997,8328599044100.0,0.041055854400000001,0.40561676029999999,0.044396314800000003,623.51879882799994,0.0028855516999999999,0.011072576000000001
classical,4.8829151637600001e-05,2515425820670.0,0.036352451899999999,0.42721369860000002,0.032296221700000002,920.39685058600003,0.0032488431,0.0059852795999999998
electronic,0.90051710610000002,10384605970400.0,0.089374408099999997,0.46194404360000002,0.098913654700000006,1656.92907715,0.0034653411999999999,0.0085282902999999997
hiphop,0.93784970050000005,2082523054080.0,0.36616069080000002,0.4585513175,0.15542073549999999,1001.73419189,0.0029712508000000002,0.0113004027
rnb,0.96706306929999997,4643591553020.0,0.052662249699999997,0.44275775550000002,0.10552073269999999,1616.5267334,0.011478641100000001,0.0070240218000000004
jazz,0.87635374070000005,3812555489280.0,0.1497883797,0.43436208370000001,0.087455332299999994,597.98968505899995,0.0017807856,0.017480166599999999
folk,0.74589979650000005,18920977203200.0,0.054572872799999998,0.45917436480000001,0.063697427500000001,1349.5440673799999,0.0053707119000000001,0.0098253469999999999
classical,0.097782038200000004,6941548478460.0,0.055829376,0.40862220529999999,0.050522070400000001,717.88421630899995,0.0015329111999999999,0.0133140702
electronic,0.25022807720000001,17313974714400.0,0.028403695699999999,0.43185123800000003,0.0603036396,766.61859130899995,0.0014009773,0.0187684875
hiphop,0.94873756170000001,5316172316670.0,0.083793953099999999,0.45455214379999997,0.10652092840000001,1692.75268555,0.0025587079999999998,0.010304052399999999
rnb,0.85483711959999997,1338590232580.0,0.1106767729,0.46438059209999999,0.1029541045,1078.3565673799999,0.0041384715999999997,0.0090540693999999998
jazz,0.34956020119999998,4981600550910.0,0.024428106799999998,0.41795405749999998,0.044351816199999998,578.57757568399995,0.0040402003000000004,0.0142754344
folk,0.82198673489999996,17419417419800.0,0.045737050500000001,0.41569373009999999,0.045581329599999998,714.91339111299999,0.0036133087999999998,0.018978238099999999
classical,0.63978630299999995,3694227619840.0,0.0597638115,0.45004028080000003,0.059442590900000002,1379.4805908200001,0.0077201635999999997,0.0086606657000000004
electronic,0.95114219190000004,2339114057730.0,0.042977835999999998,0.46773323420000001,0.11974798139999999,996.754394531,0.0051975203999999999,0.012302107200000001
